iter	Passed	Remaining
228	2789	119023
229	2800	118964
230	2811	118913
231	2824	118908
232	2835	118867
233	2847	118832
234	2858	118788
235	2870	118775
236	2881	118711
237	2893	118663
238	2904	118621
239	2915	118570
240	2927	118534
241	2939	118522
242	2953	118573
243	2964	118548
244	2976	118509
245	2987	118452
246	2998	118388
247	3009	118334
248	3020	118295
249	3032	118249
250	3043	118199
251	3054	118160
252	3068	118213
253	3081	118237
254	3093	118202
255	3104	118156
256	3117	118179
257	3129	118164
258	3141	118167
259	3153	118125
260	3164	118087
261	3178	118148
262	3191	118150
263	3202	118120
264	3214	118083
265	3225	118034
266	3236	117990
267	3248	117964
268	3259	117924
269	3271	117893
270	3283	117862
271	3295	117848
272	3306	117815
273	3317	117760
274	3329	117733
275	3340	117702
276	3352	117669
277	3363	117638
278	3375	117604
279	3387	117592
280	3398	117554
281	3410	117522
282	3421	117481
283	3433	117453
284	3445	117436
285	3456	117403
286	3468	117372
287	3479	117327
288	3490	117297
289	3502	117266
290	3513	117221
291	3524	117183
292	3536	117153
293	3547	117125
294	3559	117102
295	3571	117073
296	3582	117037
297	3593	117004
298	3605	116966
299	3616	116922
300	3627	116871
301	3638	116828
302	3649	116789
303	3660	116745
304	3672	116734
305	3683	116705
306	3696	116700
307	3707	116671
308	3718	116635
309	3730	116595
310	3741	116559
311	3752	116526
312	3764	116494
313	3775	116464
314	3786	116421
315	3797	116389
316	3808	116341
317	3820	116308
318	3834	116379
319	3847	116387
320	3859	116376
321	3871	116351
322	3887	116466
323	3900	116472
324	3911	116457
325	3923	116428
326	3934	116392
327	3945	116347
328	3957	116332
329	3968	116301
330	3980	116288
331	3992	116249
332	4003	116213
333	4014	116190
334	4026	116156
335	4038	116152
336	4051	116168
337	4063	116167
338	4075	116141
339	4086	116112
340	4098	116085
341	4109	116049
342	4120	116010
343	4131	115973
344	4142	115940
345	4153	115903
346	4167	115946
347	4180	115939
348	4192	115923
349	4203	115891
350	4217	115934
351	4229	115926
352	4244	115988
353	4258	116034
354	4271	116052
355	4283	116037
356	4294	116009
357	4305	115972
358	4316	115932
359	4328	115906
360	4340	115884
361	4351	115850
362	4362	115821
363	4374	115793
364	4385	115766
365	4396	115735
366	4408	115710
367	4419	115686
368	4430	115648
369	4445	115703
370	4461	115788
371	4474	115815
372	4486	115797
373	4497	115767
374	4508	115727
375	4519	115691
376	4532	115687
377	4545	115718
378	4558	115710
379	4569	115678
380	4580	115649
381	4591	115611
382	4603	115588
383	4614	115559
384	4625	115518
385	4636	115490
386	4648	115455
387	4661	115485
388	4673	115474
389	4685	115446
390	4696	115408
391	4707	115387
392	4718	115346
393	4729	115303
394	4740	115272
395	4751	115237
396	4762	115201
397	4774	115178
398	4785	115146
399	4796	115117
400	4808	115095
401	4819	115065
402	4832	115085
403	4844	115079
404	4856	115054
405	4867	115023
406	4878	114993
407	4890	114969
